[INFO][2016-08-18 14:51:40,844][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:51:47,909][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[ERROR][2016-08-18 14:56:02,911][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-18 14:56:03,123][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-18 14:56:04,049][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-18 14:56:11,250][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:56:11,474][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:56:11,508][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:56:21,833][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:56:21,877][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-18 15:19:43,324][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-18 15:19:43,612][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-18 15:19:44,651][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-18 15:21:35,434][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:21:35,716][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:21:35,762][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:21:42,871][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:21:42,946][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-18 15:22:55,441][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:22:55,505][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-18 15:36:17,007][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-18 15:36:17,246][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-18 15:36:18,338][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-18 15:36:24,784][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:36:25,072][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:36:25,110][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:36:31,704][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:36:31,769][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-18 15:37:53,446][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-18 15:37:53,720][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-18 15:37:54,788][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-18 15:38:47,507][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:38:48,043][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:38:48,133][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:38:56,502][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:38:56,533][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-18 15:40:41,800][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:40:41,820][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-18 15:42:35,952][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-18 15:42:36,182][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-18 15:42:37,224][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-18 15:42:42,554][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:42:42,787][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:42:42,802][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:42:50,618][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:42:50,666][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-18 15:43:18,082][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:43:18,104][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-18 15:44:43,806][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-18 15:44:44,068][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-18 15:44:45,252][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-18 15:44:50,802][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:44:50,999][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:44:51,016][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:44:58,275][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:44:58,304][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-18 15:45:39,604][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:45:39,630][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-18 15:46:36,737][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-18 15:46:36,992][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-18 15:46:38,161][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-18 15:46:48,014][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:46:48,260][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:46:48,274][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:46:56,888][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:46:56,921][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-18 15:47:36,350][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:47:36,373][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-18 15:49:00,115][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:49:00,140][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-18 15:49:47,197][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-18 15:49:47,445][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-18 15:49:48,483][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-18 15:49:54,704][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:49:54,924][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:49:54,946][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:50:02,278][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:50:02,303][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-18 15:50:58,685][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:50:58,714][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-18 15:51:31,177][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-18 15:51:31,412][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-18 15:51:32,386][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-18 15:51:38,646][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:51:38,862][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:51:38,878][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:51:56,765][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:51:56,795][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-18 15:56:02,137][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-18 15:56:02,369][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-18 15:56:03,397][com.jk.listener.RepairListener]修复数据库
[ERROR][2016-08-18 15:56:30,618][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-18 15:56:30,843][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-18 15:56:31,923][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-18 15:57:04,579][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:57:04,810][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:57:04,824][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:57:11,080][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:57:11,134][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-18 15:58:00,385][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-18 15:58:00,623][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-18 15:58:01,636][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-18 15:58:06,105][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:58:06,324][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:58:06,336][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:58:11,991][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 15:58:12,019][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-19 17:46:46,833][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-19 17:46:47,012][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-19 17:46:49,380][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2016-08-20 11:56:07,451][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-20 11:56:07,679][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-20 11:56:09,188][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2016-08-20 12:04:32,191][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
